2001 4 2 2203 6604 1 0 0 0 1 9 "Owner-Occupied" 629470
2021 1 1 1557 4567 1 0 0 0 5 1 "Owner-Occupied" 738810
2017 3 1 1891 8871 1 1 0 0 4 9 "Owner-Occupied" 1383862
2015 4 3 2330 6469 1 0 0 0 1 6 "Owner-Occupied" 547199
2020 2 1 1206 4055 0 0 0 0 8 3 "Rental" 477499
2016 2 1 1312 5331 0 0 0 0 8 2 "Rental" 364126
2019 4 3 2308 8629 1 1 0 1 3 7 "Owner-Occupied" 863472
2007 3 1 2017 5648 1 1 0 0 8 8 "Owner-Occupied" 714330
2001 2 1 1328 6165 0 1 0 0 6 2 "Rental" 298017
2017 2 1 1236 3428 0 0 0 1 8 1 "Rental" 792580
2021 2 1 1827 8164 1 0 0 0 8 8 "Owner-Occupied" 1442014
2021 2 1 1093 4365 0 1 0 0 4 3 "Rental" 609420
2012 1 1 1137 3739 0 0 0 0 1 3 "Rental" 327888
1971 3 2 1195 4968 0 0 1 0 5 8 "Owner-Occupied" 329696
2018 2 1 1890 8437 1 0 0 0 7 4 "Owner-Occupied" 774079
2017 1 1 1159 4964 0 0 0 0 6 6 "Rental" 480340
2005 6 3 2726 12349 1 0 1 0 3 10 "Owner-Occupied" 889589
2019 3 2 1418 5489 0 1 0 0 4 6 "Owner-Occupied" 986437
2015 2 2 1256 3434 0 1 0 0 9 2 "Rental" 551285
2014 2 1 1104 4448 0 0 0 0 4 1 "Rental" 243509
2007 4 3 2372 9638 1 0 0 0 1 8 "Owner-Occupied" 549831
1993 3 1 1770 9145 1 0 0 0 6 4 "Owner-Occupied" 472849
2021 8 3 3045 6911 1 1 1 0 1 7 "Owner-Occupied" 1576934
1986 1 1 1088 1962 0 0 0 1 6 1 "Owner-Occupied" 127212
2007 3 1 1292 4226 0 1 0 0 9 6 "Rental" 677146
2018 2 1 1545 4998 1 0 0 0 5 2 "Owner-Occupied" 508216
2019 3 1 1885 6698 1 0 0 0 7 9 "Owner-Occupied" 724131
2019 4 2 1999 5771 1 1 0 0 2 7 "Owner-Occupied" 837615
1981 3 2 1934 7643 1 0 0 0 8 8 "Owner-Occupied" 610364
2018 4 3 2366 10440 1 1 0 0 1 10 "Owner-Occupied" 689260
2021 4 3 2206 8387 1 1 1 0 3 10 "Owner-Occupied" 1084951
2004 4 1 2009 9145 1 1 0 0 2 10 "Owner-Occupied" 781287
2002 3 2 2001 7460 1 1 0 0 9 5 "Owner-Occupied" 773502
